# started on Sun Apr 25 14:41:38 2021

232843458085,,cycles,85070650329,100.00,,
15433588889,,instructions,85070650329,100.00,0.07,insn per cycle
8223053222,,bus-cycles,85070650329,100.00,,
6704831480,,cache-references,85070650329,100.00,,
3341678851,,cache-misses,85070650329,100.00,49.840,of all cache refs
# started on Sun Apr 25 14:42:15 2021

2875323,,cycles,2488893,100.00,,
1866585,,instructions,2488893,100.00,0.65,insn per cycle
222978,,bus-cycles,2488893,100.00,,
96,,page-faults,2352267,100.00,,
19,,cs,2352267,100.00,,
# started on Sun Apr 25 14:42:50 2021

9696995244,,dTLB-loads,85487190171,100.00,,
27236873,,dTLB-load-misses,85487190171,100.00,0.28,of all dTLB cache hits
8051368916,,dTLB-stores,85487190171,100.00,,
111635122,,dTLB-stores-misses,85487190171,100.00,,
# started on Sun Apr 25 14:43:26 2021

1889832,,faults,84077135685,100.00,,
1889832,,minor-faults,84077135685,100.00,,
0,,major-faults,84077135685,100.00,,
3346005330,,branch-instructions,84571501334,100.00,,
64211497,,branch-misses,84571501334,100.00,1.92,of all branches
# started on Sun Apr 25 14:44:03 2021

5006726,,cycles,2899273,86.95,,
1854685,,instructions,3334403,100.00,0.37,insn per cycle
16873,,LLC-loads,3334403,100.00,,
6343,,LLC-load-misses,3334403,100.00,37.59,of all LL-cache hits
<not counted>,,LLC-stores,0,0.00,,
<not counted>,,cache-references,0,0.00,,
<not counted>,,cache-misses,0,0.00,,
# started on Sun Apr 25 14:44:39 2021

8800579955,,L1-dcache-loads,63113597291,80.24,,
4991884967,,L1-dcache-load-misses,62744711245,79.78,56.72,of all L1-dcache hits
7324485056,,L1-dcache-stores,62731869913,79.76,,
<not supported>,,L1-dcache-store-misses,0,100.00,,
6278802108,,cache-references,63084447115,80.21,,
2996256141,,cache-misses,62930450016,80.01,47.720,of all cache refs
